angIn,angOut,angRef,angD,ni,lambda,color,angInDeg,angOutDeg,angRefDeg,angD2Deg,angD2DegCorr,rainbowNo
0.237406838760014,0.828620709695402,0.177671258075904,0.591213870935388,4,650,#F60000,13.602,47.476,190.18,33.874,146.126,2
0.237406838760014,0.830181726028874,0.177931427464815,0.59277488726886,4,700,#A20000,13.602,47.566,190.195,33.963,146.037,2
0.245321215590281,0.84018004732225,0.180916877152087,0.59485883173197,4,400,#5B0088,14.056,48.139,190.366,34.083,145.917,2
0.245321215590281,0.845007389156453,0.181721434124456,0.599686173566172,4,450,#0033FF,14.056,48.415,190.412,34.359,145.641,2
0.245321215590281,0.848661323976558,0.18233042326114,0.603340108386278,4,500,#00FF80,14.056,48.625,190.447,34.569,145.431,2
0.245321215590281,0.851550614631898,0.182811971703696,0.606229399041617,4,550,#92FF00,14.056,48.79,190.474,34.734,145.266,2
0.245321215590281,0.853923382595498,0.183207433030963,0.608602167005217,4,600,#FFB100,14.056,48.926,190.497,34.87,145.13,2
0.245321215590281,0.855930302995451,0.183541919764289,0.61060908740517,4,650,#F60000,14.056,49.041,190.516,34.985,145.015,2
0.245321215590281,0.857544059325908,0.183810879152697,0.612222843735628,4,700,#A20000,14.056,49.134,190.532,35.078,144.922,2
0.253235675413503,0.866943390190241,0.186696510933957,0.613707714776738,4,400,#5B0088,14.509,49.672,190.697,35.163,144.837,2
0.253235675413503,0.871928558176761,0.187527372265044,0.618692882763258,4,450,#0033FF,14.509,49.958,190.745,35.448,144.552,2
0.253235675413503,0.875701988087464,0.188156277250161,0.622466312673961,4,500,#00FF80,14.509,50.174,190.781,35.665,144.335,2
0.253235675413503,0.878685787517506,0.188653577155169,0.625450112104003,4,550,#92FF00,14.509,50.345,190.809,35.836,144.164,2
0.253235675413503,0.881136181991986,0.189061976234247,0.627900506578483,4,600,#FFB100,14.509,50.485,190.832,35.976,144.024,2
0.253235675413503,0.883208769303088,0.189407407452766,0.629973093889585,4,650,#F60000,14.509,50.604,190.852,36.095,143.905,2
0.253235675413503,0.884875334331085,0.189685168290764,0.631639658917582,4,700,#A20000,14.509,50.7,190.868,36.19,143.81,2
0.261150221369694,0.893673853546993,0.192470679152781,0.632523632177299,4,400,#5B0088,14.963,51.204,191.028,36.241,143.759,2
0.261150221369694,0.898817045298215,0.193327877777985,0.637666823928521,4,450,#0033FF,14.963,51.498,191.077,36.536,143.464,2
0.261150221369694,0.902710123066998,0.193976724072782,0.641559901697304,4,500,#00FF80,14.963,51.721,191.114,36.759,143.241,2
0.261150221369694,0.905788554024485,0.19448979589903,0.644638332654791,4,550,#92FF00,14.963,51.898,191.143,36.935,143.065,2
0.261150221369694,0.908316677112978,0.194911149747112,0.647166455743284,4,600,#FFB100,14.963,52.043,191.168,37.08,142.92,2
0.261150221369694,0.910455018609683,0.195267539996563,0.649304797239989,4,650,#F60000,14.963,52.165,191.188,37.202,142.798,2
0.261150221369694,0.912174463121335,0.195554114081837,0.651024241751641,4,700,#A20000,14.963,52.264,191.204,37.301,142.699,2
0.269064856646407,0.920370319809431,0.198239196075972,0.651305463163024,4,400,#5B0088,15.416,52.733,191.358,37.317,142.683,2
0.269064856646407,0.925671738628685,0.199122765879182,0.656606881982278,4,450,#0033FF,15.416,53.037,191.409,37.621,142.379,2
0.269064856646407,0.929684621444135,0.199791579681758,0.660619764797728,4,500,#00FF80,15.416,53.267,191.447,37.851,142.149,2
0.269064856646407,0.932857810247435,0.200320444482306,0.663792953601028,4,550,#92FF00,15.416,53.449,191.478,38.033,141.967,2
0.269064856646407,0.935463767027494,0.200754770612316,0.666398910381088,4,600,#FFB100,15.416,53.598,191.502,38.182,141.818,2
0.269064856646407,0.9376679525328,0.2011221348632,0.668603095886392,4,650,#F60000,15.416,53.724,191.523,38.308,141.692,2
0.269064856646407,0.939440349385335,0.201417534338623,0.670375492738928,4,700,#A20000,15.416,53.826,191.54,38.41,141.59,2
0.276979584480793,0.947031662889792,0.204001874561765,0.670052078408999,4,400,#5B0088,15.87,54.261,191.688,38.391,141.609,2
