angIn,angOut,angRef,ni,lambda,color,angInDeg,angOutDeg,angRefDeg,angDiffDeg
0.205685495708144,-2.73335187602482,0.153481568318281,3,550,#92FF00,11.785,-156.61,188.794,168.394437231521
0.205685495708144,-2.73202825480697,0.153812473622742,3,600,#FFB100,11.785,-156.534,188.813,168.318599322064
0.205685495708144,-2.73090874012749,0.154092352292613,3,650,#F60000,11.785,-156.47,188.829,168.254455855827
0.205685495708144,-2.73000855815649,0.154317397785361,3,700,#A20000,11.785,-156.418,188.842,168.202879228095
0.231398426602988,-2.69004414011827,0.170736735018628,3,400,#5B0088,13.258,-154.128,189.782,167.386329162994
0.231398426602988,-2.68701070094633,0.171495094811613,3,450,#0033FF,13.258,-153.954,189.826,167.212525901033
0.231398426602988,-2.68471464881704,0.172069107843935,3,500,#00FF80,13.258,-153.823,189.859,167.080971804482
0.231398426602988,-2.68289910259365,0.172522994399783,3,550,#92FF00,13.258,-153.719,189.885,166.976948668371
0.231398426602988,-2.68140813769513,0.172895735624411,3,600,#FFB100,13.258,-153.633,189.906,166.891522672284
0.231398426602988,-2.68014706820378,0.17321100299725,3,650,#F60000,13.258,-153.561,189.924,166.819268712757
0.231398426602988,-2.67913305381959,0.173464506593298,3,700,#A20000,13.258,-153.503,189.939,166.761169968177
0.257112176759792,-2.6406033529,0.189525369362397,3,400,#5B0088,14.731,-151.295,190.859,166.026870079022
0.257112176759792,-2.63722832467605,0.190369126418383,3,450,#0033FF,14.731,-151.102,190.907,165.833495206052
0.257112176759792,-2.634673648956,0.191007795348396,3,500,#00FF80,14.731,-150.956,190.944,165.687123069269
0.257112176759792,-2.63265355961846,0.191512817682784,3,550,#92FF00,14.731,-150.84,190.973,165.571380475988
0.257112176759792,-2.63099459115866,0.191927559797731,3,600,#FFB100,14.731,-150.745,190.997,165.476328584896
0.257112176759792,-2.62959140290567,0.192278356860978,3,650,#F60000,14.731,-150.664,191.017,165.395931820138
0.257112176759792,-2.62846309876579,0.19256043289595,3,700,#A20000,14.731,-150.6,191.033,165.331284754915
0.28282685294934,-2.59139814715415,0.208255339846245,3,400,#5B0088,16.205,-148.476,191.932,164.680961876919
0.28282685294934,-2.58768011985241,0.20918484667168,3,450,#0033FF,16.205,-148.263,191.985,164.467934604415
0.28282685294934,-2.58486573041399,0.209888444031285,3,500,#00FF80,16.205,-148.102,192.026,164.306681967687
0.28282685294934,-2.58264022196442,0.210444821143678,3,550,#92FF00,16.205,-147.974,192.058,164.179169726256
0.28282685294934,-2.58081252127334,0.210901746316449,3,600,#FFB100,16.205,-147.87,192.084,164.074450190444
0.28282685294934,-2.57926659139139,0.211288228786936,3,650,#F60000,16.205,-147.781,192.106,163.985874932785
0.28282685294934,-2.57802349228806,0.211599003562768,3,700,#A20000,16.205,-147.71,192.124,163.914650600648
0.308542567361765,-2.54245443752871,0.226920195855713,3,400,#5B0088,17.678,-145.672,193.002,163.350095784663
0.308542567361765,-2.53839187300492,0.227935836986659,3,450,#0033FF,17.678,-145.439,193.06,163.11732798345
0.308542567361765,-2.53531658010191,0.228704660212411,3,500,#00FF80,17.678,-145.263,193.104,162.941126679341
